GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.contactmanagement.backend.config,SecurityConfig,0,134,0,0,0,38,0,10,0,10
backend,com.contactmanagement.backend.controller,AuthController,58,9,0,0,23,4,5,1,5,1
backend,com.contactmanagement.backend.controller,ContactController,13,158,3,1,2,48,3,8,1,8
backend,com.contactmanagement.backend.dto,LoginRequest,0,17,0,0,0,8,0,5,0,5
backend,com.contactmanagement.backend.dto,LoginResponse,11,15,0,0,6,6,3,3,3,3
backend,com.contactmanagement.backend.dto,ContactPhoneRequest,17,0,0,0,8,0,5,0,5,0
backend,com.contactmanagement.backend.dto,ContactPhoneResponse,36,0,0,0,16,0,8,0,8,0
backend,com.contactmanagement.backend.dto,RegisterRequest,0,38,0,0,0,17,0,11,0,11
backend,com.contactmanagement.backend.dto,ContactEmailRequest,17,0,0,0,8,0,5,0,5,0
backend,com.contactmanagement.backend.dto,ContactEmailResponse,36,0,0,0,16,0,8,0,8,0
backend,com.contactmanagement.backend.dto,ChangePasswordRequest,0,17,0,0,0,8,0,5,0,5
backend,com.contactmanagement.backend.dto,UserResponse,26,30,0,0,13,11,7,5,7,5
backend,com.contactmanagement.backend.dto,ContactResponse,39,41,0,0,18,16,11,7,11,7
backend,com.contactmanagement.backend.dto,ContactRequest,23,25,0,0,9,10,7,4,7,4
backend,com.contactmanagement.backend.service,ContactService,315,270,22,4,84,91,22,11,10,10
backend,com.contactmanagement.backend.service,UserService,41,6,2,0,10,3,7,1,6,1
backend,com.contactmanagement.backend.service,AuthService,10,315,5,27,2,97,6,19,1,8
backend,com.contactmanagement.backend.entity,ContactEmail,28,3,0,0,12,2,8,1,8,1
backend,com.contactmanagement.backend.entity,ContactPhone,28,3,0,0,12,2,8,1,8,1
backend,com.contactmanagement.backend.entity,Contact,26,41,0,0,11,18,5,12,5,12
backend,com.contactmanagement.backend.entity,User,29,49,0,0,12,21,6,14,6,14
backend,com.contactmanagement.backend.exception,GlobalExceptionHandler,54,7,8,0,21,3,6,2,2,2
backend,com.contactmanagement.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.contactmanagement.backend.security,JwtAuthenticationFilter,53,6,8,0,19,3,5,1,1,1
backend,com.contactmanagement.backend.security,JwtService,60,13,4,0,17,4,6,1,4,1
